title,thumbnail,link,viewcount,age
Complete 𝗖𝗔𝗥𝗕𝗢𝗡 𝗔𝗡𝗗 𝗜𝗧𝗦 𝗖𝗢𝗠𝗣𝗢𝗨𝗡𝗗𝗦 in 90 Minutes | Class 10th Board Exam,https://i.ytimg.com/vi/HzBhwxMrt8A/hqdefault.jpg,https://www.youtube.com/watch?v=HzBhwxMrt8A,33K views,20 hours ago
Complete 𝗠𝗘𝗧𝗔𝗟𝗦 \u0026 𝗡𝗢𝗡 𝗠𝗘𝗧𝗔𝗟𝗦  in 120 Minutes | Class 10th Board Exam,https://i.ytimg.com/vi/60_B3haKADw/hqdefault.jpg,https://www.youtube.com/watch?v=60_B3haKADw,19K views,20 hours ago
"Complete 𝗔𝗖𝗜𝗗, 𝗕𝗔𝗦𝗘𝗦 𝗔𝗡𝗗 𝗦𝗔𝗟𝗧 in 110 Minutes | Class 10th Board Exam",https://i.ytimg.com/vi/46CNHP9wBAs/hqdefault.jpg,https://www.youtube.com/watch?v=46CNHP9wBAs,16K views,1 day ago
Complete 𝗖𝗛𝗘𝗠𝗜𝗖𝗔𝗟 𝗥𝗘𝗔𝗖𝗧𝗜𝗢𝗡  in 90 Minutes | Class 10th Board Exam,https://i.ytimg.com/vi/1Wk5gJtZ2sQ/hqdefault.jpg,https://www.youtube.com/watch?v=1Wk5gJtZ2sQ,24K views,1 day ago
Complete 𝐇𝐄𝐑𝐄𝐃𝐈𝐓𝐘 𝐀𝐍𝐃 𝐄𝐕𝐎𝐋𝐔𝐓𝐈𝐎𝐍 in 2 Hours|| Class 10th Board Exam,https://i.ytimg.com/vi/iM_hVnElC-Q/hqdefault.jpg,https://www.youtube.com/watch?v=iM_hVnElC-Q,56K views,1 day ago
Complete 𝗛𝗢𝗪 𝗗𝗢 𝗢𝗥𝗚𝗔𝗡𝗜𝗦𝗠𝗦 𝗥𝗘𝗣𝗥𝗢𝗗𝗨𝗖𝗘 in 1 Hours 50 Minutes|| Class 10th Board Exam,https://i.ytimg.com/vi/Prly9d7LoAQ/hqdefault.jpg,https://www.youtube.com/watch?v=Prly9d7LoAQ,25K views,1 day ago
Complete 𝗢𝗨𝗥 𝗘𝗡𝗩𝗜𝗥𝗢𝗡𝗠𝗘𝗡𝗧 in 1 Hour 30 Minutes | Class 10th Board Exam,https://i.ytimg.com/vi/AvwBDiCWSEM/hqdefault.jpg,https://www.youtube.com/watch?v=AvwBDiCWSEM,42K views,1 day ago
Complete 𝗖𝗼𝗻𝘁𝗿𝗼𝗹 𝗮𝗻𝗱 𝗖𝗼𝗼𝗿𝗱𝗶𝗻𝗮𝘁𝗶𝗼𝗻 in 1 Hours 50 Minutes | Class 10th Board Exam,https://i.ytimg.com/vi/jQzKkMEaWFA/hqdefault.jpg,https://www.youtube.com/watch?v=jQzKkMEaWFA,31K views,1 day ago
Complete 𝗟𝗶𝗳𝗲 𝗣𝗿𝗼𝗰𝗲𝘀𝘀𝗲𝘀 in 2 Hours 58 Minutes | Class 10th Board Exam,https://i.ytimg.com/vi/6weIshsiLlM/hqdefault.jpg,https://www.youtube.com/watch?v=6weIshsiLlM,64K views,1 day ago
Complete 𝗠𝗮𝗴𝗻𝗲𝘁𝗶𝗰 𝗘𝗳𝗳𝗲𝗰𝘁 𝗼𝗳 𝗘𝗹𝗲𝗰𝘁𝗿𝗶𝗰 𝗖𝘂𝗿𝗿𝗲𝗻𝘁 in 2 Hours 15 Minutes | Class 10th Board Exam,https://i.ytimg.com/vi/-osuIPJkPWg/hqdefault.jpg,https://www.youtube.com/watch?v=-osuIPJkPWg,49K views,2 days ago
